path,file,name,kind,date,type,duration,transcription_doc,transcription_txt,transcription_json
2022/Henryk 2022-07-15 Nazywam sie Filemon.m4a,Henryk 2022-07-15 Nazywam sie Filemon.m4a,Nazywam sie Filemon,Henryk,2022-07-15,m4a,918.997333,Henryk 2022-07-15 Nazywam sie Filemon.docx,Henryk 2022-07-15 Nazywam sie Filemon.txt,Henryk 2022-07-15 Nazywam sie Filemon.json
2022/Henryk 2022-07-16 Filemon Czarne myszy.m4a,Henryk 2022-07-16 Filemon Czarne myszy.m4a,Filemon Czarne myszy,Henryk,2022-07-16,m4a,953.155918,Henryk 2022-07-16 Filemon Czarne myszy.docx,Henryk 2022-07-16 Filemon Czarne myszy.txt,Henryk 2022-07-16 Filemon Czarne myszy.json
2022/Henryk 2022-07-18 Jak wygląda Filemon.m4a,Henryk 2022-07-18 Jak wygląda Filemon.m4a,Jak wygląda Filemon,Henryk,2022-07-18,m4a,954.549116,Henryk 2022-07-18 Jak wygląda Filemon.docx,Henryk 2022-07-18 Jak wygląda Filemon.txt,Henryk 2022-07-18 Jak wygląda Filemon.json
2022/Henryk 2022-07-19 Puchatek tropi łasicę.m4a,Henryk 2022-07-19 Puchatek tropi łasicę.m4a,Puchatek tropi łasicę,Henryk,2022-07-19,m4a,806.754104,Henryk 2022-07-19 Puchatek tropi łasicę.docx,Henryk 2022-07-19 Puchatek tropi łasicę.txt,Henryk 2022-07-19 Puchatek tropi łasicę.json
2022/Henryk 2022-07-20 Filemon w Lesie.m4a,Henryk 2022-07-20 Filemon w Lesie.m4a,Filemon w Lesie,Henryk,2022-07-20,m4a,1097.514376,Henryk 2022-07-20 Filemon w Lesie.docx,Henryk 2022-07-20 Filemon w Lesie.txt,Henryk 2022-07-20 Filemon w Lesie.json
2022/Henryk 2022-07-21 Puchatek znajduje ogon Kłapouchego.m4a,Henryk 2022-07-21 Puchatek znajduje ogon Kłapouchego.m4a,Puchatek znajduje ogon Kłapouchego,Henryk,2022-07-21,m4a,863.040000,Henryk 2022-07-21 Puchatek znajduje ogon Kłapouchego.docx,Henryk 2022-07-21 Puchatek znajduje ogon Kłapouchego.txt,Henryk 2022-07-21 Puchatek znajduje ogon Kłapouchego.json
2022/Henryk 2022-07-22 Puchatek łapie słonia.m4a,Henryk 2022-07-22 Puchatek łapie słonia.m4a,Puchatek łapie słonia,Henryk,2022-07-22,m4a,1310.650340,Henryk 2022-07-22 Puchatek łapie słonia.docx,Henryk 2022-07-22 Puchatek łapie słonia.txt,Henryk 2022-07-22 Puchatek łapie słonia.json
2022/Henryk 2022-07-25 Filemon i Masz Babo Placek.m4a,Henryk 2022-07-25 Filemon i Masz Babo Placek.m4a,Filemon i Masz Babo Placek,Henryk,2022-07-25,m4a,732.218050,Henryk 2022-07-25 Filemon i Masz Babo Placek.docx,Henryk 2022-07-25 Filemon i Masz Babo Placek.txt,Henryk 2022-07-25 Filemon i Masz Babo Placek.json
2022/Henryk 2022-07-27 Puchatek i rozmowa o Kangurzycy.m4a,Henryk 2022-07-27 Puchatek i rozmowa o Kangurzycy.m4a,Puchatek i rozmowa o Kangurzycy,Henryk,2022-07-27,m4a,695.850667,Henryk 2022-07-27 Puchatek i rozmowa o Kangurzycy.docx,Henryk 2022-07-27 Puchatek i rozmowa o Kangurzycy.txt,Henryk 2022-07-27 Puchatek i rozmowa o Kangurzycy.json
2022/Henryk 2022-07-29 Puchatek i porwanie malenstwa.m4a,Henryk 2022-07-29 Puchatek i porwanie malenstwa.m4a,Puchatek i porwanie malenstwa,Henryk,2022-07-29,m4a,1241.088000,Henryk 2022-07-29 Puchatek i porwanie malenstwa.docx,Henryk 2022-07-29 Puchatek i porwanie malenstwa.txt,Henryk 2022-07-29 Puchatek i porwanie malenstwa.json
2022/Henryk 2022-07-31 Puchatek i przyprawa na biegun.m4a,Henryk 2022-07-31 Puchatek i przyprawa na biegun.m4a,Puchatek i przyprawa na biegun,Henryk,2022-07-31,m4a,771.797333,Henryk 2022-07-31 Puchatek i przyprawa na biegun.docx,Henryk 2022-07-31 Puchatek i przyprawa na biegun.txt,Henryk 2022-07-31 Puchatek i przyprawa na biegun.json
2022/Henryk 2022-08-01 Puchatek i dalsza czesc przyprawy.m4a,Henryk 2022-08-01 Puchatek i dalsza czesc przyprawy.m4a,Puchatek i dalsza czesc przyprawy,Henryk,2022-08-01,m4a,599.146667,Henryk 2022-08-01 Puchatek i dalsza czesc przyprawy.docx,Henryk 2022-08-01 Puchatek i dalsza czesc przyprawy.txt,Henryk 2022-08-01 Puchatek i dalsza czesc przyprawy.json
2022/Henryk 2022-08-02 Puchatek znalazl biegun północny.m4a,Henryk 2022-08-02 Puchatek znalazl biegun północny.m4a,Puchatek znalazl biegun północny,Henryk,2022-08-02,m4a,743.701333,Henryk 2022-08-02 Puchatek znalazl biegun północny.docx,Henryk 2022-08-02 Puchatek znalazl biegun północny.txt,Henryk 2022-08-02 Puchatek znalazl biegun północny.json
2022/Henryk 2022-08-04 Prosiaczek i woda.m4a,Henryk 2022-08-04 Prosiaczek i woda.m4a,Prosiaczek i woda,Henryk,2022-08-04,m4a,690.133333,Henryk 2022-08-04 Prosiaczek i woda.docx,Henryk 2022-08-04 Prosiaczek i woda.txt,Henryk 2022-08-04 Prosiaczek i woda.json
2022/Henryk 2022-08-05 Puchatek otoczony wodą.m4a,Henryk 2022-08-05 Puchatek otoczony wodą.m4a,Puchatek otoczony wodą,Henryk,2022-08-05,m4a,662.743946,Henryk 2022-08-05 Puchatek otoczony wodą.docx,Henryk 2022-08-05 Puchatek otoczony wodą.txt,Henryk 2022-08-05 Puchatek otoczony wodą.json
2022/Henryk 2022-08-06 Puchatek i Krzyś uratowali prosiaczka.m4a,Henryk 2022-08-06 Puchatek i Krzyś uratowali prosiaczka.m4a,Puchatek i Krzyś uratowali prosiaczka,Henryk,2022-08-06,m4a,643.424943,Henryk 2022-08-06 Puchatek i Krzyś uratowali prosiaczka.docx,Henryk 2022-08-06 Puchatek i Krzyś uratowali prosiaczka.txt,Henryk 2022-08-06 Puchatek i Krzyś uratowali prosiaczka.json
2022/Henryk 2022-08-10 Puchatek i przyjęcie na jego cześć.m4a,Henryk 2022-08-10 Puchatek i przyjęcie na jego cześć.m4a,Puchatek i przyjęcie na jego cześć,Henryk,2022-08-10,m4a,620.460408,Henryk 2022-08-10 Puchatek i przyjęcie na jego cześć.docx,Henryk 2022-08-10 Puchatek i przyjęcie na jego cześć.txt,Henryk 2022-08-10 Puchatek i przyjęcie na jego cześć.json
2022/Henryk 2022-08-12 Puchatek i koniec przyjęcia.m4a,Henryk 2022-08-12 Puchatek i koniec przyjęcia.m4a,Puchatek i koniec przyjęcia,Henryk,2022-08-12,m4a,501.461333,Henryk 2022-08-12 Puchatek i koniec przyjęcia.docx,Henryk 2022-08-12 Puchatek i koniec przyjęcia.txt,Henryk 2022-08-12 Puchatek i koniec przyjęcia.json
2022/Henryk 2022-08-14 Powstaje Chatka Puchatka.m4a,Henryk 2022-08-14 Powstaje Chatka Puchatka.m4a,Powstaje Chatka Puchatka,Henryk,2022-08-14,m4a,581.056145,Henryk 2022-08-14 Powstaje Chatka Puchatka.docx,Henryk 2022-08-14 Powstaje Chatka Puchatka.txt,Henryk 2022-08-14 Powstaje Chatka Puchatka.json
2022/Henryk 2022-08-15 Puchatek buduje chatkę Kłapouchemu.m4a,Henryk 2022-08-15 Puchatek buduje chatkę Kłapouchemu.m4a,Puchatek buduje chatkę Kłapouchemu,Henryk,2022-08-15,m4a,655.232000,Henryk 2022-08-15 Puchatek buduje chatkę Kłapouchemu.docx,Henryk 2022-08-15 Puchatek buduje chatkę Kłapouchemu.txt,Henryk 2022-08-15 Puchatek buduje chatkę Kłapouchemu.json
2022/Henryk 2022-08-16 Koniec bajki o powstaniu Chatki Puchatka.m4a,Henryk 2022-08-16 Koniec bajki o powstaniu Chatki Puchatka.m4a,Koniec bajki o powstaniu Chatki Puchatka,Henryk,2022-08-16,m4a,641.172608,Henryk 2022-08-16 Koniec bajki o powstaniu Chatki Puchatka.docx,Henryk 2022-08-16 Koniec bajki o powstaniu Chatki Puchatka.txt,Henryk 2022-08-16 Koniec bajki o powstaniu Chatki Puchatka.json
2022/Henryk 2022-08-17 Puchatek i Tygrysek spotykają się.m4a,Henryk 2022-08-17 Puchatek i Tygrysek spotykają się.m4a,Puchatek i Tygrysek spotykają się,Henryk,2022-08-17,m4a,656.256000,Henryk 2022-08-17 Puchatek i Tygrysek spotykają się.docx,Henryk 2022-08-17 Puchatek i Tygrysek spotykają się.txt,Henryk 2022-08-17 Puchatek i Tygrysek spotykają się.json
2022/Henryk 2022-08-18 Puchatek i Tygrysek u Kłapouchego.m4a,Henryk 2022-08-18 Puchatek i Tygrysek u Kłapouchego.m4a,Puchatek i Tygrysek u Kłapouchego,Henryk,2022-08-18,m4a,613.504000,Henryk 2022-08-18 Puchatek i Tygrysek u Kłapouchego.docx,Henryk 2022-08-18 Puchatek i Tygrysek u Kłapouchego.txt,Henryk 2022-08-18 Puchatek i Tygrysek u Kłapouchego.json
2022/Henryk 2022-08-19 Puchatek i Tygrysek u Kangurzycy.m4a,Henryk 2022-08-19 Puchatek i Tygrysek u Kangurzycy.m4a,Puchatek i Tygrysek u Kangurzycy,Henryk,2022-08-19,m4a,549.082268,Henryk 2022-08-19 Puchatek i Tygrysek u Kangurzycy.docx,Henryk 2022-08-19 Puchatek i Tygrysek u Kangurzycy.txt,Henryk 2022-08-19 Puchatek i Tygrysek u Kangurzycy.json
2022/Henryk 2022-08-21 Puchatek na poszukiwaniu Małego.m4a,Henryk 2022-08-21 Puchatek na poszukiwaniu Małego.m4a,Puchatek na poszukiwaniu Małego,Henryk,2022-08-21,m4a,629.461333,Henryk 2022-08-21 Puchatek na poszukiwaniu Małego.docx,Henryk 2022-08-21 Puchatek na poszukiwaniu Małego.txt,Henryk 2022-08-21 Puchatek na poszukiwaniu Małego.json
2022/Henryk 2022-08-23 Puchatek i Prosiaczek w pułapce na słonia.m4a,Henryk 2022-08-23 Puchatek i Prosiaczek w pułapce na słonia.m4a,Puchatek i Prosiaczek w pułapce na słonia,Henryk,2022-08-23,m4a,666.538667,Henryk 2022-08-23 Puchatek i Prosiaczek w pułapce na słonia.docx,Henryk 2022-08-23 Puchatek i Prosiaczek w pułapce na słonia.txt,Henryk 2022-08-23 Puchatek i Prosiaczek w pułapce na słonia.json
2022/Henryk 2022-08-24 Puchatek i Prosiaczek znaleźli Małego.m4a,Henryk 2022-08-24 Puchatek i Prosiaczek znaleźli Małego.m4a,Puchatek i Prosiaczek znaleźli Małego,Henryk,2022-08-24,m4a,660.586667,Henryk 2022-08-24 Puchatek i Prosiaczek znaleźli Małego.docx,Henryk 2022-08-24 Puchatek i Prosiaczek znaleźli Małego.txt,Henryk 2022-08-24 Puchatek i Prosiaczek znaleźli Małego.json
2022/Henryk 2022-08-25 Puchatek wyrusza w odwiedziny a Prosiaczek sadzi żołądź.m4a,Henryk 2022-08-25 Puchatek wyrusza w odwiedziny a Prosiaczek sadzi żołądź.m4a,Puchatek wyrusza w odwiedziny a Prosiaczek sadzi żołądź,Henryk,2022-08-25,m4a,662.848000,Henryk 2022-08-25 Puchatek wyrusza w odwiedziny a Prosiaczek sadzi żołądź.docx,Henryk 2022-08-25 Puchatek wyrusza w odwiedziny a Prosiaczek sadzi żołądź.txt,Henryk 2022-08-25 Puchatek wyrusza w odwiedziny a Prosiaczek sadzi żołądź.json
